Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-03-25,288.1400146484375,0.03502280788451673,297.06844354534917,0.067094464291399,1,Yes,276.77308221180385,-0.005808155291329472,312.9745888988382,0.12423065638354715,1.48,60.0,30.14,60.0,19.87,60.0
2025-03-26,272.05999755859375,-0.05580626179068926,314.31609193943837,0.05805951042206974,1,No,272.7740046959711,-0.014448939484557445,344.06172575042865,0.09932799004854237,1.48,60.0,30.14,60.0,19.87,60.0
2025-03-27,273.1300048828125,0.0039329829222258805,329.62777455584103,0.048714281607168994,1,Yes,268.76717725688036,-0.014689183610280926,368.14802180975886,0.07000574099544468,1.48,60.0,30.14,60.0,19.87,60.0
2025-03-28,263.54998779296875,-0.03507493471452938,341.10741006661016,0.034826056530695766,1,No,265.24525442057984,-0.013103991611796907,370.6101037542649,0.0066877500316392365,1.48,60.0,30.14,60.0,19.87,60.0
2025-03-31,259.1600036621094,-0.016657121359109794,338.47917634457565,-0.007705003305326247,0,Yes,261.6664186678642,-0.013492553374926533,363.35313956360494,-0.01958112883903389,1.48,60.0,30.14,60.0,19.87,60.0
