Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-04-07,150.6199951171875,-0.017097430710373063,152.54393045938306,-0.004542384552525044,0,Yes,154.12517991753074,0.005776392538736729,148.39166253197706,-0.031638885326216504,3.76,20.0,4.12,60.0,1.12,60.0
2025-04-08,150.0,-0.004116286929269353,151.7084365005378,-0.005477071138321759,0,Yes,155.2907086669466,0.007562221500987206,147.350143426351,-0.0070187171425593374,3.76,20.0,4.12,60.0,1.12,60.0
2025-04-09,150.97000122070312,0.006466674804687544,150.07852207696612,-0.01074372962485784,0,No,156.29381426277877,0.006459533892549187,144.9383810913992,-0.016367560145316287,3.76,20.0,4.12,60.0,1.12,60.0
2025-04-10,148.69000244140625,-0.015102330005043463,148.33630387215376,-0.011608711098040316,0,Yes,157.31035757275603,0.00650405337391104,140.43811092488906,-0.031049540726360483,3.76,20.0,4.12,60.0,1.12,60.0
2025-04-11,151.72999572753906,0.020445176112837693,148.18056151543368,-0.001049927446313328,0,No,157.23896665984245,-0.0004538220751329713,139.90677036733416,-0.0037834499058385113,3.76,20.0,4.12,60.0,1.12,60.0
