Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%)
4/11/2025,198.14999389648438,0.040594453,195.00343541731215,1,Yes,191.8862020640927,0.007699842,201.20011120073778,0.056612295,2.96,80,13.45,60,9.4
4/14/2025,202.52000427246094,0.022054052538903912,203.81728705258908,1,Yes,192.7582769986276,0.004544751,217.01948742167528,0.078625087,2.96,80,13.45,60,9.4
4/15/2025,202.13999938964844,-0.001876382,215.5444994002606,1,No,193.63431529625612,0.004544751,234.37471075436045,0.079970806,2.96,80,13.45,60,9.4
4/16/2025,194.27000427246094,-0.038933388,227.94647055488204,1,No,192.25812478990517,-0.007107162,236.0047793841291,0.006954968,2.96,80,13.45,60,9.4
4/17/2025,196.97999572753906,0.013949613401343264,237.94287668968792,1,Yes,193.85319312704308,0.008296494,238.6228572213196,0.011093325,2.96,80,13.45,60,9.4
