Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-04-11,18.479999542236328,0.015384547668098714,18.150686855782663,-0.0027095552247014387,0,No,18.101695186413693,-0.005401405077187657,18.25673029734368,0.003117007254183462,1.67,60.0,3.36,60.0,1.37,60.0
2025-04-14,18.700000762939453,0.011904828255017375,18.188974581177394,0.002109436722640311,0,No,18.130215670021965,0.001575569763746636,18.44131528284894,0.010110517190042497,1.67,60.0,3.36,60.0,1.37,60.0
2025-04-15,18.299999237060547,-0.021390455056646163,18.165654342561773,-0.0012821084834411544,0,Yes,18.076260065363666,-0.002976004568302707,18.951881601304905,0.02768600344525374,1.67,60.0,3.36,60.0,1.37,60.0
2025-04-16,17.969999313354492,-0.018032783467976876,18.154948033049763,-0.000589370980538928,0,Yes,17.993498149369966,-0.0045784866833314284,19.075596467345314,0.006527840804571371,1.67,60.0,3.36,60.0,1.37,60.0
2025-04-17,18.260000228881836,0.01613805935495094,18.15747306076688,0.000139082068013538,1,Yes,17.913891771562888,-0.004424174618311492,19.079576098041137,0.0002086241813009069,1.67,60.0,3.36,60.0,1.37,60.0
