Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-04-07,233.2899932861328,-0.025644236634809525,228.0576986433045,-0.04749736616279438,0,Yes,232.1510952693972,-0.03040094235913303,228.78619196690184,-0.044454751010632426,10.81,80.0,15.01,60.0,12.4,60.0
2025-04-08,221.86000061035156,-0.048994783337158565,215.48233818062639,-0.05514113549986623,0,Yes,227.8225947462413,-0.01864518673983823,212.6101351892614,-0.07070381581411449,10.81,80.0,15.01,60.0,12.4,60.0
2025-04-09,272.20001220703125,0.22689989839624536,212.0089194226172,-0.016119273567087575,0,No,220.68818279000374,-0.03131564700237122,203.57779726594552,-0.04248310135956348,10.81,80.0,15.01,60.0,12.4,60.0
2025-04-10,252.39999389648438,-0.07274069589492627,206.2457378190479,-0.027183675192839377,0,Yes,213.48241821373574,-0.032651338577220725,194.5504249979005,-0.044343599298562124,10.81,80.0,15.01,60.0,12.4,60.0
2025-04-11,252.30999755859375,-0.00035656236159631316,210.66909783038173,0.02144703719993833,1,No,210.5411673331866,-0.013777485308436003,199.78733644512334,0.026918015970817517,10.81,80.0,15.01,60.0,12.4,60.0
