Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-04-11,110.93000030517578,0.031235480337304722,114.69775599031388,0.06626156284941047,1,Yes,106.67167319937252,-0.008351087645256584,118.8740777506222,0.10508578681665545,4.47,40.0,25.85,40.0,12.66,60.0
2025-04-14,110.70999908447266,-0.0019832436680599086,121.02371720991574,0.0551533128523987,1,No,106.5161725336209,-0.0014577503200965567,129.05584783574923,0.08565172725450403,4.47,40.0,25.85,40.0,12.66,60.0
2025-04-15,112.19999694824219,0.013458566309197062,126.17844070535902,0.042592672033882534,1,Yes,107.36692138388031,0.00798703924505798,141.75963087347895,0.09843632234238607,4.47,40.0,25.85,40.0,12.66,60.0
2025-04-16,104.48999786376953,-0.06871657124936714,122.42579129001781,-0.029740813045106954,0,Yes,107.96790523626866,0.005597476807960369,142.4758032358259,0.00505201909693273,4.47,40.0,25.85,40.0,12.66,60.0
2025-04-17,101.48999786376953,-0.02871088201103511,122.75949504705545,0.0027257635300646076,1,No,108.66641630240231,0.006469617657257172,144.92988921294264,0.017224580745509234,4.47,40.0,25.85,40.0,12.66,60.0
