Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-04-11,9.329999923706055,0.020787699479913657,9.222618813010333,0.009039219538753918,0,No,9.075046130359267,-0.007106587584642701,9.248781435034836,0.011901650724942626,4.23,20.0,1.93,60.0,2.18,20.0
2025-04-14,9.710000038146973,0.0407288443245748,9.30513097745034,0.008946717425164116,0,No,8.933077301777256,-0.015643868531651162,9.282794055867754,0.003677524555188965,4.23,20.0,1.93,60.0,2.18,20.0
2025-04-15,9.449999809265137,-0.026776542519092894,9.492574714865334,0.02014412670485126,1,No,9.926382687421743,0.11119408822834949,9.40129089179324,0.012765212199292839,4.23,20.0,1.93,60.0,2.18,20.0
2025-04-16,9.399999618530273,-0.005291025581380615,9.66074806659176,0.017716305299453398,1,No,9.811140804941518,-0.011609655411155427,9.362979446126559,-0.004075126076582185,4.23,20.0,1.93,60.0,2.18,20.0
2025-04-17,9.630000114440918,0.024468138855797683,9.857568367785372,0.020373194688126137,1,Yes,9.725088953219581,-0.00877083036853324,9.29470577802565,-0.007291874183185762,4.23,20.0,1.93,60.0,2.18,20.0
