Date,Actual_Price,Actual_Return,Predicted_Price_HybridModel,Predicted_Return_HybridModel,Hybrid_Direction,Correct?,Predicted_Price_Top3Model,Predicted_Return_Top3Model,Predicted_Price_FullModel,Predicted_Return_FullModel,MAPE_Top3Model (%),Directional_Accuracy_Top3Model (%),MAPE_FullModel (%),Directional_Accuracy_FullModel (%),MAPE_HybridModel (%),Directional_Accuracy_HybridModel (%)
2025-04-07,516.25,0.022824061900261983,487.5608718459729,-0.034016481617179524,0,No,479.2653411673244,-0.05045206202270695,489.94560802990895,-0.029291705732987623,19.13,60.0,11.17,20.0,12.69,40.0
2025-04-08,510.45001220703125,-0.011234843182506005,473.158275954435,-0.029540097910251896,0,Yes,455.0854164494167,-0.05045206202270695,470.9169717300309,-0.03883826283573186,19.13,60.0,11.17,20.0,12.69,40.0
2025-04-09,585.77001953125,0.14755608879027715,464.5432935796071,-0.018207400805682106,0,No,435.61348210472175,-0.042787427680313954,465.3082076238064,-0.011910303605366511,19.13,60.0,11.17,20.0,12.69,40.0
2025-04-10,546.2899780273438,-0.0673985355814204,462.3429626109588,-0.004736546623444464,0,Yes,413.635883687647,-0.05045206202270695,474.4377096562751,0.019620333110155923,19.13,60.0,11.17,20.0,12.69,40.0
2025-04-11,543.5700073242188,-0.004978987007865032,464.5910051695624,0.004862283500344131,1,No,392.7671004290206,-0.05045206202270695,493.09967175820367,0.039334904713727345,19.13,60.0,11.17,20.0,12.69,40.0
